Date,BTC,ETH,LTC,XRP
2019-04-20 10-AM,5310.56,173.6,81.19,0.33
2019-04-20 09-AM,5312.99,175.27,81.04,0.3297
2019-04-20 08-AM,5318.41,176.15,81.67,0.3307
2019-04-20 07-AM,5321.1,175.16,82.32,0.3322
2019-04-20 06-AM,5329.73,174.64,82.43,0.3324
2019-04-20 05-AM,5322.65,175.52,82.18,0.3322
2019-04-20 04-AM,5328.18,174.83,82.56,0.3331
2019-04-20 03-AM,5325.53,174.36,82.72,0.3319
2019-04-20 02-AM,5303.79,174.18,82.43,0.3307
2019-04-20 01-AM,5299.19,175.12,82.33,0.3316
2019-04-20 12-AM,5305.9,173.51,82.79,0.3317
2019-04-19 11-PM,5285.45,173.66,82.19,0.331
2019-04-19 10-PM,5289.91,172.9,82.45,0.3317
2019-04-19 09-PM,5281.17,172.5,82.18,0.3307
2019-04-19 08-PM,5271.85,172.89,81.86,0.331
2019-04-19 07-PM,5270,173.22,82.09,0.3315
2019-04-19 06-PM,5296.38,172.99,82.41,0.3325
2019-04-19 05-PM,5293.07,172.26,82.45,0.3324
2019-04-19 04-PM,5277.47,172.64,81.84,0.3317
2019-04-19 03-PM,5278.58,172.92,82.05,0.3324
2019-04-19 02-PM,5284,172.31,83.03,0.3307
2019-04-19 01-PM,5246.71,172.37,81.55,0.3291
2019-04-19 12-PM,5247.2,172.36,81.66,0.3308
2019-04-19 11-AM,5248.86,173.49,81.35,0.3304
2019-04-19 10-AM,5256.42,173.07,81.69,0.3309
2019-04-19 09-AM,5256.46,173.2,81.07,0.331
2019-04-19 08-AM,5256.36,174,81.48,0.3317
2019-04-19 07-AM,5264.05,172.68,81.88,0.3316
2019-04-19 06-AM,5247.45,172.66,81.21,0.3307
2019-04-19 05-AM,5238.58,171.66,81.97,0.332
2019-04-19 04-AM,5231.44,171.74,81.41,0.3307
2019-04-19 03-AM,5237.81,171.7,81.22,0.3307
2019-04-19 02-AM,5230.72,170.86,81.02,0.3306
2019-04-19 01-AM,5220,170.67,80.41,0.3292
2019-04-19 12-AM,5217.94,172.72,80.65,0.3288
2019-04-18 11-PM,5275.86,174.17,81.57,0.334
2019-04-18 10-PM,5281.58,173.4,82.08,0.336
2019-04-18 09-PM,5280,175.23,82.37,0.3355
2019-04-18 08-PM,5292.78,175.95,83,0.3369
2019-04-18 07-PM,5308.57,174.79,83.12,0.3372
2019-04-18 06-PM,5290.97,174.5,83.17,0.3382
2019-04-18 05-PM,5273.97,174.41,82.53,0.3371
2019-04-18 04-PM,5261.9,173.37,82.65,0.337
2019-04-18 03-PM,5258.95,172.5,82.41,0.3382
2019-04-18 02-PM,5252.19,172.28,80.6,0.3353
2019-04-18 01-PM,5249.62,172.28,80.63,0.3362
2019-04-18 12-PM,5263.79,171.93,80.77,0.3383
2019-04-18 11-AM,5249.97,170.78,80.49,0.338
2019-04-18 10-AM,5237.58,171.4,80.1,0.337
2019-04-18 09-AM,5241.1,171.33,80.59,0.3377
2019-04-18 08-AM,5248.21,171.51,80.66,0.3372
2019-04-18 07-AM,5245.9,172.01,80.43,0.338
2019-04-18 06-AM,5265.02,171.74,81.17,0.3425
2019-04-18 05-AM,5268.89,171.65,81.06,0.3411
2019-04-18 04-AM,5262.97,172.5,80.48,0.3413
2019-04-18 03-AM,5279.26,172.67,80.8,0.3438
2019-04-18 02-AM,5273.16,171.9,80.95,0.3449
2019-04-18 01-AM,5264.49,172.66,80.66,0.339
2019-04-18 12-AM,5267.19,166.4,80.79,0.3394
2019-04-17 11-PM,5231.81,166.74,79.53,0.3373
2019-04-17 10-PM,5233.72,166.2,79.27,0.3358
2019-04-17 09-PM,5220.11,167.12,79.21,0.3364
2019-04-17 08-PM,5231.94,166.73,79.37,0.3373
2019-04-17 07-PM,5221.04,166.68,79.6,0.3375
2019-04-17 06-PM,5237.36,166.44,79.68,0.3352
2019-04-17 05-PM,5226.22,165.72,79.5,0.3334
2019-04-17 04-PM,5226.68,166.07,79.57,0.3322
2019-04-17 03-PM,5214.12,165.79,79.36,0.3333
2019-04-17 02-PM,5207.9,165.96,79.22,0.3308
2019-04-17 01-PM,5211.5,165.74,79.27,0.3331
2019-04-17 12-PM,5214.24,165.34,79.45,0.3357
2019-04-17 11-AM,5191.1,167.13,78.87,0.3213
2019-04-17 10-AM,5253.83,166.22,80.05,0.3238
2019-04-17 09-AM,5230.6,165.73,79.78,0.3226
2019-04-17 08-AM,5213.58,165.41,79.38,0.322
2019-04-17 07-AM,5200.78,166.74,79.47,0.3216
2019-04-17 06-AM,5216.52,166.19,80.2,0.3227
2019-04-17 05-AM,5210.37,166.58,79.81,0.3222
2019-04-17 04-AM,5223.71,167.1,80.15,0.3234
2019-04-17 03-AM,5233.17,166.68,80.54,0.324
2019-04-17 02-AM,5232.07,166.82,80.8,0.324
2019-04-17 01-AM,5224.27,166.74,80.63,0.324
2019-04-17 12-AM,5221.3,166.72,80.48,0.324
2019-04-16 11-PM,5232.29,166.52,81.17,0.3241
