Airline,Origin,Destination,Delay
WN,OMA,MCO,6.25
WN,DEN,PDX,6.25
WN,OAK,DAL,6.24
WN,SMF,ONT,6.23
WN,MSP,MCO,6.23
WN,TPA,BHM,6.22
WN,BWI,PVD,6.21
WN,IND,LGA,6.21
WN,LAS,MDW,6.2
WN,BNA,CLE,6.2
WN,SJC,BUR,6.2
WN,BOS,STL,6.2
WN,SAN,PHX,6.2
WN,ORF,TPA,6.2
WN,HOU,LAS,6.19
WN,SJC,PHX,6.19
WN,RDU,ATL,6.19
WN,MCO,AUS,6.18
WN,CMH,PHX,6.18
WN,LAX,BWI,6.18
WN,ATL,LAS,6.17
WN,TPA,BNA,6.17
WN,LAS,SNA,6.17
WN,FLL,ATL,6.17
WN,MCI,IND,6.17
WN,LBB,LAS,6.16
WN,SNA,PHX,6.16
WN,TUL,MCO,6.15
WN,ONT,LAS,6.15
WN,SAN,GEG,6.13
WN,SLC,SMF,6.12
WN,MCO,BHM,6.12
WN,BUR,BNA,6.12
WN,MCO,MKE,6.11
WN,MKE,DCA,6.1
WN,PHX,SJC,6.1
WN,PNS,DAL,6.1
WN,MSY,LAS,6.09
WN,SAN,ATL,6.09
WN,STL,MKE,6.08
WN,SAN,ABQ,6.08
WN,PHX,SLC,6.07
WN,BWI,MHT,6.07
WN,SAN,SAT,6.07
WN,CMH,MSY,6.06
WN,LAS,DSM,6.06
WN,PHL,MDW,6.06
WN,MCI,TPA,6.05
WN,PHX,LAS,6.04
WN,CHS,DAL,6.04
WN,CMH,RSW,6.03
WN,SFO,MDW,6.03
WN,BNA,SAN,6.03
WN,ONT,DEN,6.03
WN,SAT,SAN,6.03
WN,STL,MDW,6.03
WN,ABQ,DEN,6.02
WN,STL,PHX,6.01
WN,RDU,MCI,6
WN,HOU,ABQ,6
WN,ONT,PHX,5.99
WN,OAK,SLC,5.98
WN,PHX,MCO,5.98
WN,SAN,DEN,5.97
WN,BNA,STL,5.97
WN,SLC,DEN,5.97
WN,ATL,DEN,5.96
WN,BWI,GRR,5.95
WN,FLL,SAT,5.94
WN,GRR,RSW,5.94
WN,MDW,MCI,5.94
WN,SJC,DEN,5.93
WN,FLL,MCI,5.93
WN,CLT,HOU,5.92
WN,PHX,ABQ,5.91
WN,BWI,RSW,5.91
WN,OAK,BOI,5.9
WN,MDW,LAS,5.89
WN,SAN,OAK,5.88
WN,BNA,MDW,5.88
WN,TPA,DEN,5.87
WN,ATL,AUS,5.87
WN,DEN,MCI,5.86
WN,MDW,SAT,5.85
WN,OAK,DEN,5.84
WN,TPA,SAN,5.84
WN,SLC,SAN,5.83
WN,AUS,MCI,5.82
WN,LGA,PBI,5.82
WN,MDW,ECP,5.82
WN,PDX,SJC,5.81
WN,BWI,MDW,5.81
WN,SAN,AUS,5.81
WN,SEA,SNA,5.8
WN,LAX,ATL,5.8
WN,MEM,MDW,5.8
WN,OMA,DCA,5.78
WN,MSY,MCI,5.78
WN,PHX,MSY,5.77
WN,PIT,TPA,5.76
WN,MDW,PBI,5.75
WN,AUS,FLL,5.75
WN,SAT,PHX,5.73
WN,SMF,BUR,5.72
WN,SAT,MDW,5.71
WN,PVD,DCA,5.71
WN,TPA,RDU,5.71
WN,ABQ,MCI,5.71
WN,MCI,RSW,5.7
WN,AUS,MDW,5.7
WN,RDU,TPA,5.7
WN,HRL,HOU,5.7
WN,SEA,DEN,5.7
WN,BWI,IND,5.7
WN,FLL,BNA,5.68
WN,SJC,SNA,5.67
WN,SAT,DAL,5.67
WN,TUS,OAK,5.67
WN,SAN,LAS,5.67
WN,ONT,SMF,5.67
WN,SJC,SLC,5.66
WN,BWI,PIT,5.66
WN,MSY,BNA,5.65
WN,SJC,HOU,5.65
WN,BUR,OAK,5.65
WN,AUS,PHX,5.64
WN,AUS,SAN,5.64
WN,MCO,ORF,5.64
WN,CVG,PHX,5.64
WN,BOS,DEN,5.64
WN,MCI,LAX,5.64
WN,LIT,DAL,5.62
WN,LAS,BNA,5.62
WN,FLL,MKE,5.62
WN,HOU,TUL,5.62
WN,PHX,MDW,5.61
WN,LIT,LAS,5.61
WN,SAN,DAL,5.6
WN,SAN,SJC,5.6
WN,BWI,MCI,5.59
WN,BWI,DTW,5.59
WN,IND,MCO,5.59
WN,BWI,MSP,5.58
WN,SAT,ATL,5.58
WN,DAL,CHS,5.57
WN,MCO,DTW,5.57
WN,FLL,TPA,5.57
WN,AUS,ATL,5.56
WN,ROC,TPA,5.56
WN,IND,ATL,5.55
WN,TPA,MSY,5.55
WN,MKE,MSP,5.55
WN,BWI,MKE,5.53
WN,SEA,OAK,5.53
WN,PDX,SMF,5.52
WN,BNA,FLL,5.52
WN,FLL,BWI,5.52
WN,HOU,MCI,5.52
WN,BOS,ATL,5.51
WN,DCA,MCI,5.51
WN,BNA,BWI,5.51
